id,match_id,profile_id,division,squad_id,payment_status,payment_intent_id,created_at
ca5b5bcb-8efa-4578-9f75-09642dd19461,96a7245f-708a-4368-a643-9d64492d5f79,195701ae-75ac-4253-9cc2-8cbb4c683f26,Practical,0a1bd3dd-46b4-45d6-aa20-39a5d9178a21,free,,2026-06-23 18:41:10.054662+00
cde98c7c-2fa7-4d9e-9336-ce92cf2f6592,8d53d69e-2da9-44a6-9a18-b16fcb004b3e,195701ae-75ac-4253-9cc2-8cbb4c683f26,Practical,,free,,2026-06-23 15:14:01.603911+00
