id,stage_run_id,target_id,hits_t,hits_a,hits_c,hits_d,hits_m,hits_ns,created_at
3746b7ba-8714-480c-b7c8-f0344d4210e5,11f1260d-b73a-47ff-a618-7d312c41486e,113a8b31-d4fa-401b-aaae-470809cba4df,1,0,0,0,0,0,2026-06-23 15:22:11.890502+00
49e722d6-3e47-4eb4-baaa-2a96f2d5ae34,c6c4a5c2-ea74-413a-8f80-f9e429c4584a,ad3d158c-aef5-4c6a-88e1-7a9708ccef84,0,2,0,0,0,0,2026-06-23 18:59:00.103318+00
55ee9aa6-6c5c-4886-b2ac-8d139c1249a6,c6c4a5c2-ea74-413a-8f80-f9e429c4584a,d939fd83-6f69-4076-a610-d3f0c78afa69,0,2,0,0,0,0,2026-06-23 18:58:59.9096+00
f8ea311d-17cd-4c28-bf1e-be75241158f2,c6c4a5c2-ea74-413a-8f80-f9e429c4584a,1755800c-2a7c-4aa9-93e3-c5ddf0f651c2,0,2,0,0,0,0,2026-06-23 18:59:00.011201+00
